,date,revenue,earnings,actual,estimate,ticker,as_of_date
119,4Q2019,1480618000.0,121297000,0.73,0.7,NCLH,4/28/20
120,1Q2019,23103000000.0,204000000,0.4,0.34,PSX,4/28/20
121,2Q2019,27847000000.0,1424000000,3.02,2.74,PSX,4/28/20
122,3Q2019,27218000000.0,712000000,3.11,2.59,PSX,4/28/20
123,4Q2019,29125000000.0,736000000,1.54,1.56,PSX,4/28/20
124,2Q2019,14427000000.0,1420000000,5.0,4.77,LMT,4/28/20
125,3Q2019,15171000000.0,1608000000,5.66,5.02,LMT,4/28/20
126,4Q2019,15878000000.0,1498000000,5.29,5.03,LMT,4/28/20
127,1Q2020,15651000000.0,1717000000,6.08,5.8,LMT,4/28/20
128,2Q2019,748697000.0,93495000,1.21,1.34,CTXS,4/28/20
129,3Q2019,732901000.0,270857000,1.52,1.25,CTXS,4/28/20
130,4Q2019,809823000.0,207113000,1.71,1.68,CTXS,4/28/20
131,1Q2020,860945000.0,181222000,1.73,1.17,CTXS,4/28/20
132,2Q2019,836242000.0,118210000,1.16,1.09,SNPS,4/28/20
133,3Q2019,852970000.0,99929000,1.18,1.1,SNPS,4/28/20
134,4Q2019,851081000.0,160714000,1.15,1.13,SNPS,4/28/20
135,1Q2020,834381000.0,104061000,1.01,0.92,SNPS,4/28/20
136,1Q2019,706710000.0,366521000,1.73,1.71,PSA,4/28/20
137,2Q2019,729864000.0,370056000,1.76,1.83,PSA,4/28/20
138,3Q2019,748381000.0,397942000,1.93,1.9,PSA,4/28/20
139,4Q2019,730815000.0,386015000,1.87,2.01,PSA,4/28/20
140,1Q2019,3153000000.0,395000000,3.75,3.65,AMP,4/28/20
141,2Q2019,3282000000.0,492000000,4.06,4.04,AMP,4/28/20
142,3Q2019,3351000000.0,543000000,4.12,4.09,AMP,4/28/20
143,4Q2019,3104000000.0,463000000,4.2,4.27,AMP,4/28/20
144,2Q2019,3668000000.0,1305000000,1.36,1.22,TXN,4/28/20
145,3Q2019,3771000000.0,1425000000,1.49,1.42,TXN,4/28/20
146,4Q2019,3350000000.0,1070000000,1.12,1.02,TXN,4/28/20
147,1Q2020,3329000000.0,1174000000,1.24,1.0,TXN,4/28/20
148,1Q2019,1395000000.0,186000000,0.25,0.21,HST,4/28/20
149,2Q2019,1487000000.0,286000000,0.39,0.31,HST,4/28/20
150,3Q2019,1266000000.0,368000000,0.5,0.43,HST,4/28/20
151,4Q2019,1335000000.0,80000000,0.11,0.12,HST,4/28/20
152,1Q2019,5305000000.0,522000000,1.26,1.24,ETN,4/28/20
153,2Q2019,5533000000.0,636000000,1.53,1.51,ETN,4/28/20
154,3Q2019,5314000000.0,601000000,1.52,1.51,ETN,4/28/20
155,4Q2019,5238000000.0,452000000,1.37,1.4,ETN,4/28/20
156,2Q2019,5369000000.0,1821000000,1.09,1.07,USB,4/28/20
157,3Q2019,5486000000.0,1908000000,1.15,1.11,USB,4/28/20
158,4Q2019,5163000000.0,1486000000,0.9,1.08,USB,4/28/20
159,1Q2020,4755000000.0,1171000000,0.72,0.58,USB,4/28/20
160,2Q2019,1513100000.0,389400000,1.75,1.67,NTRS,4/28/20
161,3Q2019,1544900000.0,384600000,1.69,1.63,NTRS,4/28/20
162,4Q2019,1548700000.0,371100000,1.8,1.74,NTRS,4/28/20
163,1Q2020,1526700000.0,360600000,1.55,1.45,NTRS,4/28/20
164,2Q2019,2015300000.0,288400000,0.92,0.93,APH,4/28/20
165,3Q2019,2100600000.0,280300000,0.95,0.87,APH,4/28/20
166,4Q2019,2151000000.0,318700000,0.98,0.91,APH,4/28/20
167,1Q2020,1862000000.0,242100000,0.71,0.73,APH,4/28/20
168,1Q2019,1657200000.0,346000000,2.04,2.08,ROK,4/28/20
169,2Q2019,1665100000.0,261400000,2.4,2.29,ROK,4/28/20
170,3Q2019,1730200000.0,8100000,2.01,1.92,ROK,4/28/20
171,4Q2019,1684500000.0,310700000,2.11,2.1,ROK,4/28/20
172,1Q2019,1908000000.0,116000000,0.44,0.47,MAS,4/28/20
173,2Q2019,0.0,0,0.88,0.82,MAS,4/28/20
174,3Q2019,1947000000.0,126000000,0.68,0.69,MAS,4/28/20
175,4Q2019,1639000000.0,453000000,0.54,0.52,MAS,4/28/20
176,2Q2019,1355000000.0,390000000,0.37,0.39,RF,4/28/20
177,3Q2019,1397000000.0,409000000,0.39,0.39,RF,4/28/20
178,4Q2019,1393000000.0,389000000,0.39,0.39,RF,4/28/20
179,1Q2020,1038000000.0,162000000,0.14,0.23,RF,4/28/20
180,1Q2019,2057000000.0,148000000,1.16,1.54,FIS,4/28/20
181,2Q2019,2112000000.0,154000000,1.3,1.78,FIS,4/28/20
182,3Q2019,2822000000.0,154000000,1.43,1.35,FIS,4/28/20
