,ticker,as_of_date,-1m,-2m,-3m,0m,52w_change,PE,current_earning_avg,current_earning_d,current_earning_high,current_earning_low,current_price,current_ratio,current_revenue_avg,current_revenue_high,current_revenue_low,earningQtr_growth,free_cf,fwd_pe,pegRatio,priceToBook,profit_margin,tgt_high_price,tgt_low_price,tgt_median_price,trailingEps,growthPotential
2103,FOXA,2020-05-04,0.4583333333333333,0.4583333333333333,0.5769230769230769,0.5384615384615384,-0.3293776,8.745626312106369,0.71,2020-05-06,0.82,0.64,24.995,3.523,3337020000,3500000000,3216870000,36.5,1335750016,10.371369,-2.21,1.4767222,0.15218,48.0,20.0,31.0,2.858,0.24024804960992197
2104,HLT,2020-05-04,0.48,0.52,0.7857142857142857,0.7307692307692307,-0.21961004,23.490131578947366,0.57,2020-05-07,0.89,0.35,71.41,0.7290000000000001,1954720000,2279000000,1710000000,-0.219,1186375040,21.189913,-10.49,,0.23392999,123.0,61.0,80.0,3.04,0.1202912757316903
2105,KMB,2020-05-04,0.3333333333333333,0.3333333333333333,0.1875,0.13333333333333333,0.06942928,19.814598540145983,1.75,2020-07-23,1.9,1.54,135.73,0.871,4448530000,4643000000,4248510000,0.454,1676375040,17.627274,3.34,,0.12552,165.0,125.0,147.0,6.85,0.08303249097472931
2106,MS,2020-05-04,0.5833333333333334,0.56,0.68,0.6296296296296297,-0.19513726,7.912339011217283,0.84,2020-07-16,1.08,0.53,38.09,,8977340000,9580000000,7952000000,-0.301,,8.445675999999999,220.8,0.8313689000000001,0.20459999,60.0,34.4,46.0,4.814,0.2076660540824362
2107,CBOE,2020-05-04,0.29411764705882354,0.29411764705882354,0.38461538461538464,0.3076923076923077,-0.08790141,20.739846322722283,1.24,2020-07-31,1.5,1.1,94.47,1.765,306000000,349900000,284000000,0.65,601075008,18.379376999999998,5.89,3.3626397000000003,0.1552,135.0,90.0,103.5,4.555,0.09558590028580505
2108,DIS,2020-05-04,0.7777777777777778,0.7777777777777778,0.5483870967741935,0.5,-0.2185185,17.364523729384047,0.88,2020-05-05,1.24,0.61,103.18,0.7979999999999999,17807500000,19893000000,16431000000,-0.244,8587250176,22.979958,14.71,2.0473442,0.13808,175.0,100.0,123.0,5.942,0.19209149059895325
2109,FTNT,2020-05-04,0.5517241379310345,0.5862068965517241,0.7241379310344828,0.7,0.22738492,56.521390374331546,0.51,2020-05-06,0.63,0.46,105.695,1.879,556690000,574000000,532470000,-0.369,536124992,34.42834000000001,2.37,13.728407,0.15142,150.0,88.0,118.0,1.87,0.11641988741189269
2110,ALLE,2020-05-04,0.0,0.0,0.6363636363636364,0.7,-0.037044346,27.60267987183222,0.83,2020-07-23,0.99,0.63,94.76,2.019,608950000,637090000,555170000,-0.995,394587488,21.390520000000002,6.87,14.294765,0.11205,105.0,85.0,99.0,3.433,0.04474461798227103
2111,IEX,2020-05-04,0.4666666666666667,0.3333333333333333,0.16666666666666666,0.15384615384615385,-0.030192375,27.63853211009174,0.98,2020-07-23,1.37,0.83,150.63,3.514,525560000,566200000,499100000,-0.075,376845504,28.636879999999998,2.87,5.08782,0.16915001,178.0,112.0,164.5,5.45,0.09207993095664868
2112,GPC,2020-05-04,0.15384615384615385,0.15384615384615385,0.09090909090909091,0.16666666666666666,-0.2581886,17.837264150943394,1.15,2020-05-06,1.29,1.03,75.63,1.242,4604890000,4837000000,4341530000,-0.952,518151616,13.553763,-8.26,2.992048,0.03203,107.0,67.0,80.0,4.24,0.057781303715456866
2113,CE,2020-05-04,0.42105263157894735,0.42105263157894735,0.6111111111111112,0.631578947368421,-0.26442218,13.003675242231875,1.14,2020-07-20,1.73,0.75,77.84,1.4809999999999999,1093060000,1261880000,984700000,-0.353,754249984,8.629711,2.47,3.7592967000000006,0.12076,115.0,74.0,92.0,5.986,0.1819116135662897
2114,XRX,2020-05-04,0.3333333333333333,0.3333333333333333,0.75,0.6666666666666666,-0.47840738,3.1509928812289245,-0.03,2020-07-28,0.3,-0.51,16.82,1.7719999999999998,1523170000,1760000000,1395000000,,1133374976,6.5447474,-13.1,0.66379887,0.13926,23.0,13.0,18.5,5.338,0.09988109393579081
2115,HFC,2020-05-04,0.2777777777777778,0.2222222222222222,0.29411764705882354,0.29411764705882354,-0.33274645,7.056399132321041,0.41,2020-05-07,0.6,0.07,32.53,1.9609999999999999,3630010000,3900000000,3346000000,-0.573,1173807360,12.960158999999999,-9.31,0.8746739,0.04417,75.0,17.0,35.0,4.61,0.07592991085152168
2116,CNC,2020-05-04,0.95,0.9473684210526315,0.8571428571428571,0.7058823529411765,0.15935051,35.389575497044596,1.7,2020-07-21,2.58,1.35,65.86,1.141,27615400000,28316200000,26828000000,-0.912,1747874944,11.414211,1.01,1.6196542999999999,0.01082,102.0,72.5,85.0,1.861,0.29061645915578493
2117,FB,2020-05-04,0.8461538461538461,0.8461538461538461,0.9130434782608695,0.9318181818181818,0.043274164,28.16410537870472,1.45,2020-07-22,2.2,0.97,205.26,4.602,17442000000,20827100000,15896900000,1.018,16833750016,20.923545999999998,1.63,5.5571800000000025,0.2857,300.0,120.0,240.0,7.288,0.16924875767319492
2118,LDOS,2020-05-04,0.5454545454545454,0.36363636363636365,0.36363636363636365,1.0,0.32087433,21.502173913043478,1.19,2020-05-05,1.35,0.71,98.91,1.205,2889090000,2965690000,2758200000,-0.037,1156000000,15.600945999999999,1.88,4.0861773,0.06012,140.0,103.0,110.0,4.6,0.11212213123041148
2119,KR,2020-05-04,0.45454545454545453,0.43478260869565216,0.34615384615384615,0.36,0.24309611,15.94607843137255,0.93,2020-06-18,1.43,0.74,32.53,0.765,39993200000,43760300000,37712000000,0.263,2108625024,13.064257000000001,2.04,2.980029,0.0135699995,39.0,28.0,35.0,2.04,0.07592991085152168
2120,MXIM,2020-05-04,0.22727272727272727,0.22727272727272727,0.37037037037037035,0.4230769230769231,-0.11926913,17.2955764075067,0.5,2020-07-28,0.56,0.38,51.61,5.955,510950000,526510000,507600000,0.234,549403904,23.78341,4.94,8.524942,0.37,74.0,48.0,58.0,2.984,0.12381321449331528
2121,HWM,2020-05-04,0.75,0.7777777777777778,0.0,0.0,-0.4828866,,0.49,2020-05-05,0.54,0.4,11.95,1.416,3362580000,3442000000,3217000000,0.417,823625024,5.085106400000001,0.86,,0.03312,32.96,10.0,14.0,,0.17154811715481189
2122,GD,2020-05-04,0.631578947368421,0.6,0.47368421052631576,0.6818181818181818,,,2.37,2020-07-22,2.96,2.09,124.78,,9124830000,9965000000,8328900000,,,,,,,228.0,142.0,170.0,,0.36239782016348765
2123,CHRW,2020-05-04,0.22727272727272727,0.22727272727272727,0.13636363636363635,0.18181818181818182,-0.14878017,19.416990560799555,0.63,2020-07-28,0.83,0.42,69.94,1.444,3439000000,3959000000,2692000000,-0.517,465014368,18.902701999999998,2.43,5.930637,0.03211,88.0,51.0,76.0,3.602,0.08664569631112395
2124,INTC,2020-05-04,0.3181818181818182,0.3023255813953488,0.32558139534883723,0.5609756097560976,0.12202263,11.242729740209382,1.1,2020-07-23,1.13,1.02,57.99,1.7369999999999999,18514600000,18733700000,18259000000,0.425,13540750336,11.956700999999999,1.33,3.2155929,0.30020002,85.0,45.0,62.0,5.158,0.06914985342300395
2125,WY,2020-05-04,0.8181818181818182,0.8181818181818182,0.5454545454545454,0.42857142857142855,-0.32443613,36.50924024640658,0.02,2020-07-24,0.17,-0.15,17.78,1.3730000000000002,1354030000,1399000000,1303000000,,1180875008,27.781252000000002,13.31,1.6415843999999995,0.05468,32.0,22.0,27.0,0.487,0.5185601799775028
2126,COP,2020-05-04,0.8846153846153846,0.8461538461538461,0.7272727272727273,0.7142857142857143,-0.36748546,12.350061199510405,-0.65,2020-07-28,0.77,-1.78,40.36,2.164,4137480000,5439100000,2220000000,,2454125056,126.12501,25.82,1.3821918,0.11898,70.0,33.0,47.0,3.268,0.16451932606541142
2127,MTD,2020-05-04,0.07692307692307693,0.07692307692307693,0.14285714285714285,0.3333333333333333,-0.09412837,30.747218513573653,3.9,2020-05-07,4.26,3.25,690.89,1.4709999999999999,648820000,680900000,591800000,0.064,396298624,26.36984600000001,3.1,39.61298,0.1865,800.0,586.0,705.0,22.47,0.02042293273893092
2128,CMI,2020-05-04,0.36,0.36,0.23076923076923078,0.2916666666666667,-0.06068027,11.25274082736442,0.89,2020-07-28,1.7,0.11,153.96,1.402,3755750000,4302000000,3145000000,-0.229,1777500032,14.875361999999999,-2.97,3.2113134999999997,0.09337,201.0,130.0,169.5,13.682,0.10093530787217464
2129,KEY,2020-05-04,0.5,0.5,0.6206896551724138,0.6428571428571429,-0.37386882,7.84457478005865,0.12,2020-07-21,0.36,-0.66,10.7,,1573150000,1645000000,1538700000,-0.641,,7.7536229999999975,-0.7,0.6727867,0.26135,16.0,10.0,13.0,1.364,0.21495327102803752
2130,PG,2020-05-04,0.5,0.45454545454545453,0.34782608695652173,0.45454545454545453,0.1054126,62.37607758620689,1.0,2020-07-28,1.22,0.94,115.77,0.825,16910000000,18098000000,16447000000,0.063,11198374912,22.263462,3.13,6.420253,0.070879996,146.0,106.0,131.1,1.856,0.1324177247991707
2131,ABT,2020-05-04,0.8,0.7894736842105263,0.65,0.65,0.1363349,45.11803114013058,0.41,2020-07-15,0.53,0.29,89.83,1.4340000000000002,6629940000,7152820000,6103000000,-0.161,4588874752,24.47684,3.1,5.2584443,0.11151,113.0,79.0,105.0,1.991,0.16887454079928754
2132,LEN,2020-05-04,0.6111111111111112,0.7222222222222222,0.45454545454545453,0.5909090909090909,-0.046094477,7.85941475826972,1.0,2020-06-23,1.34,0.33,49.42,8.924,4825940000,5289000000,3914100000,0.661,1022644864,9.254681,1.7,0.96175927,0.08768,72.0,36.0,51.0,6.288,0.031970861999190525
2133,BLK,2020-05-04,0.8125,0.8125,0.7142857142857143,0.8,0.016352892,17.845600770884293,6.19,2020-07-17,6.69,5.57,481.51,,3391490000,3513000000,3318380000,-0.235,,16.501371,8.0,2.2276144,0.28377,570.0,441.0,520.0,26.982,0.07993603455795317
2134,IVZ,2020-05-04,0.17647058823529413,0.17647058823529413,0.7333333333333333,0.6875,-0.63060564,7.831558567279768,0.37,2020-07-23,0.45,0.31,8.09,9.168,1001700000,1063300000,946900000,-0.208,3721637376,5.120253,-0.4,0.391256,0.10017,12.0,4.5,8.0,1.033,-0.011124845488257096
2135,HOG,2020-05-04,0.125,0.1875,0.2,0.22727272727272727,-0.4435044,8.716738197424892,0.21,2020-07-21,0.5,-0.27,20.31,1.087,858580000,1037000000,603700000,-0.455,1961295872,9.026667,35.46,1.8366793000000001,0.06926,34.0,18.0,23.0,2.33,0.13244707040866577
2136,PCAR,2020-05-04,0.2727272727272727,0.2727272727272727,0.38095238095238093,0.34782608695652173,-0.01641941,11.226600985221676,0.33,2020-07-21,0.73,0.08,68.37,1.3330000000000002,2789710000,3487270000,1806000000,-0.429,14211462144,15.503403,-4.17,2.4524715,0.08727,85.0,55.0,74.0,6.09,0.08234605821266627
2137,URI,2020-05-04,0.7058823529411765,0.7058823529411765,0.3333333333333333,0.4444444444444444,-0.13282448,7.597449079195679,1.48,2020-07-29,2.71,-1.32,116.75,1.109,1762600000,1979950000,1308000000,-0.011,1511374976,7.877867699999999,1.48,2.3140807,0.12523,154.0,105.0,135.5,15.367,0.16059957173447548
2138,HSY,2020-05-04,0.058823529411764705,0.0,0.2631578947368421,0.2631578947368421,0.0719831,24.764150943396228,1.14,2020-07-23,1.33,0.98,131.25,0.987,1744950000,1796600000,1689690000,-0.109,988595968,20.966454000000002,3.35,16.346992,0.13944,154.0,133.0,143.5,5.3,0.09333333333333327
2139,BF-B,2020-05-04,0.06666666666666667,0.06666666666666667,0.058823529411764705,0.058823529411764705,0.15963519,34.848314606741575,,,,,62.03,4.5089999999999995,,,,0.018,334249984,36.06395300000001,10.3,14.762017000000002,0.2525,67.0,43.0,56.0,1.78,-0.09721102692245687
2140,PXD,2020-05-04,0.9142857142857143,0.9142857142857143,0.868421052631579,0.875,-0.4694478,18.45777777777778,1.18,2020-05-06,1.94,0.5,83.06,0.878,1112980000,1256790000,1002030000,0.065,-246875008,39.741627,3.35,1.1346063999999998,0.07813,182.0,71.0,100.0,4.5,0.20394895256441115
2141,ILMN,2020-05-04,0.7,0.6842105263157895,0.5294117647058824,0.6111111111111112,-0.05813527,48.58899574333911,0.9,2020-04-30,2.11,0.49,308.2,4.102,720170000,943600000,616000000,-0.258,708124992,39.870636,4.35,9.7745075,0.2649,371.0,220.0,325.0,6.343,0.05451005840363399
2142,FISV,2020-05-04,0.8064516129032258,0.7419354838709677,0.5555555555555556,0.30434782608695654,0.14179945,59.38011695906433,0.99,2020-05-07,1.08,0.78,101.54,1.084,3533420000,3695400000,3379000000,-0.136,1096625024,18.803703,1.34,2.0933492,0.08766,152.0,88.0,114.0,1.71,0.12271026196572765
2143,SHW,2020-05-04,0.4642857142857143,0.4642857142857143,0.6086956521739131,0.6956521739130435,0.16366053,30.498269896193772,5.72,2020-07-21,7.26,4.9,528.84,0.9440000000000001,4436390000,5032000000,4081220000,0.312,1647818496,22.248213,3.26,14.643629999999998,0.08984,635.0,500.0,594.0,17.34,0.12321307011572502
2144,MNST,2020-05-04,0.5333333333333333,0.6,0.7777777777777778,0.7777777777777778,-0.049504936,29.167487684729068,0.48,2020-05-07,0.52,0.45,59.21,3.5039999999999996,1004710000,1036000000,968670000,0.066,818009344,24.167347,2.85,7.618374,0.26372,78.0,51.0,68.5,2.03,0.15689917243708829
2145,VRSN,2020-05-04,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0400244,31.44707122421322,1.32,2020-07-23,1.35,1.29,208.84,1.24,312650000,314300000,311000000,1.056,537382016,34.69103,4.69,,0.6333,250.0,235.0,246.0,6.641,0.17793526144416782
2146,DE,2020-05-04,0.5652173913043478,0.5652173913043478,0.38095238095238093,0.3181818181818182,-0.13728303,12.960904747976992,1.8,2020-05-22,2.63,0.6,132.94,2.186,7757540000,8437000000,6805180000,0.038,-383224992,15.386574,7.38,3.495937,0.08416,210.0,116.0,160.0,10.257,0.20355047389799918
2147,FOX,2020-05-04,1.0,1.0,0.6666666666666666,0.6666666666666666,-0.32940233,8.617914625612316,,,,,24.63,3.523,,,,36.5,1335750016,10.480851,2.72,1.4551576000000002,0.15218,51.5,51.5,51.5,2.858,1.0909460008120178
2148,ATO,2020-05-04,0.6,0.6,0.5,0.4,-0.028721154,22.58968609865471,1.93,2020-05-06,2.15,1.72,100.75,0.961,1184600000,1285350000,1127000000,0.133,-877321984,20.069720999999998,2.91,2.0101756999999996,0.18361999,131.0,94.0,117.0,4.46,0.16129032258064524
2149,MCHP,2020-05-04,0.8181818181818182,0.8636363636363636,0.7222222222222222,0.7058823529411765,-0.15941435,32.45745943806885,1.35,2020-05-07,1.43,1.1,82.02,0.9,1322940000,1358010000,1200000000,5.323,1523399936,15.13284,5.49,3.4979527000000004,0.12229,130.0,81.0,98.0,2.527,0.1948305291392345
2150,NRG,2020-05-04,0.9,0.8,0.9,0.8888888888888888,-0.14028674,1.9606093062001666,0.49,2020-05-07,0.66,0.27,32.95,1.3090000000000002,2009020000,2647000000,1342660000,,1053249984,7.322222,-0.65,4.9481907,0.45189,52.0,34.0,44.5,16.806,0.3505311077389983
2151,DLTR,2020-05-04,0.34615384615384615,0.34615384615384615,0.5384615384615384,0.5769230769230769,-0.28751612,22.426512968299708,0.91,2020-05-28,1.1,0.69,77.82,1.204,6105340000,6306300000,5936500000,,630462528,14.331492,1.73,2.9452727000000003,0.03503,110.0,71.0,87.0,3.47,0.1179645335389361
2152,APTV,2020-05-04,0.8571428571428571,0.7391304347826086,0.0,0.0,-0.17503136,16.693506493506494,0.35,2020-05-05,0.95,-0.11,64.27,1.3119999999999998,3013600000,3582000000,2645000000,-0.069,256500000,14.345982000000001,3.55,4.2961225999999995,0.068959996,101.0,50.0,75.0,3.85,0.16695192158083083
2153,TIF,2020-05-04,0.0,0.0,0.46153846153846156,0.5,0.20310569,28.555056179775278,0.37,2020-06-02,1.17,-0.81,127.07,3.9939999999999998,810010000,1079000000,438170000,-0.016,350524992,28.175165000000003,4.0,4.6347156,0.12231,135.0,126.0,135.0,4.45,0.06240654757220443
2154,DHR,2020-05-04,0.8888888888888888,0.8421052631578947,0.8333333333333334,0.7647058823529411,0.20165944,39.74346324617662,1.01,2020-05-07,1.08,0.69,161.12,5.19,4285310000,4414000000,3678000000,0.707,3089700096,27.683846999999997,2.62,3.908403,0.16795,187.0,147.0,167.5,4.054,0.03959781529294926
2155,SYY,2020-05-04,0.36363636363636365,0.38461538461538464,0.4117647058823529,0.4117647058823529,-0.27676493,15.40641099026903,0.62,2020-05-05,0.83,0.15,53.83,1.25,13722100000,14975200000,12298000000,0.434,1147975936,17.765676000000006,2.51,10.837528,0.02999,76.0,38.0,58.0,3.494,0.07746609697194873
2156,XLNX,2020-05-04,0.3793103448275862,0.3793103448275862,0.39285714285714285,0.28,-0.30148977,26.765273311897104,0.58,2020-07-22,0.72,0.51,83.24,2.68,693380000,763410000,687130000,-0.337,,24.627218,4.41,8.887464999999997,0.25065002,115.0,80.0,94.0,3.11,0.12926477654973567
2157,CAT,2020-05-04,0.5,0.46153846153846156,0.4090909090909091,0.4583333333333333,-0.18923658,11.382079459002535,0.56,2020-07-31,1.48,-0.79,107.72,1.4169999999999998,9214080000,10625200000,7442190000,-0.419,4872374784,15.477012,-7.59,4.1488214,0.10406,144.0,80.0,127.5,9.464,0.18362421091719283
2158,UDR,2020-05-04,0.36363636363636365,0.36363636363636365,0.14285714285714285,0.22727272727272727,-0.18638724,58.0,0.03,2020-05-06,0.05,0.01,36.54,0.26899999999999996,311110000,321570000,302000000,0.189,474848640,166.09091,-6.09,3.2497332,0.15946001,54.0,33.0,40.0,0.63,0.09469074986316373
2159,HBI,2020-05-04,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.4666666666666667,-0.4617977,6.759061833688699,0.05,2020-07-30,0.43,-0.34,9.51,2.208,1063730000,1314700000,795200000,,740689152,6.7446814,-2.68,3.7888447999999997,0.07643,14.0,7.0,10.0,1.407,0.051524710830704645
2160,MMC,2020-05-04,0.3157894736842105,0.3157894736842105,0.631578947368421,0.5789473684210527,0.032978654,28.300372599598738,1.18,2020-07-28,1.37,1.01,98.74,1.13,4329570000,4616000000,4012000000,0.053,8278875136,18.595104,3.66,6.847909,0.1033,125.0,85.0,110.0,3.489,0.11403686449260686
2161,WLTW,2020-05-04,0.6666666666666666,0.6666666666666666,0.6842105263157895,0.6666666666666666,0.026367307,22.49264705882353,1.74,2020-07-28,2.04,1.35,183.54,1.05,2117390000,2228000000,1944070000,0.063,1199000064,14.813559,1.86,2.302106,0.11552,245.0,180.0,210.0,8.16,0.14416475972540055
2162,RTX,2020-05-04,0.8,0.8,0.0,0.0,-0.30739093,,,,,,58.85,1.084,,,,0.666,7235500032,13.654292000000002,2.23,,0.07187,101.0,58.0,76.0,,0.29141886151231944
2163,CPRI,2020-05-04,0.36,0.4,0.0,0.0,-0.6806223,6.103781882145999,0.35,2020-05-27,0.75,-0.49,13.88,0.773,1182160000,1295000000,918000000,0.05,2254500096,4.406349,26.08,0.79273516,0.060850002,46.0,11.0,20.5,2.274,0.47694524495677215
2164,IDXX,2020-05-04,0.5555555555555556,0.625,0.5,0.6,0.0749166,54.64271457085828,1.12,2020-07-30,1.49,0.78,273.76,0.852,585730000,638460000,551090000,0.089,261628992,46.557823,5.26,215.89906000000002,0.17778999,300.0,250.0,290.0,5.01,0.05932203389830515
2165,TROW,2020-05-04,0.375,0.375,0.2,0.25,0.044448733,13.644690927218347,1.65,2020-07-22,1.87,1.44,109.485,2.2,1302800000,1507200000,1230100000,-0.331,1775662464,14.855495000000001,-4.02,3.8795576,0.34098998,134.0,92.0,112.0,8.024,0.022971183267114226
2166,MET,2020-05-04,0.6666666666666666,0.6666666666666666,0.5882352941176471,0.5625,-0.27127546,5.64026402640264,1.44,2020-05-06,1.51,1.31,34.18,1.06,16285000000,18144000000,15425000000,-0.713,5841124864,5.603278599999999,1.48,0.47300103,0.08473,59.0,32.0,43.0,6.06,0.25804564072557046
2167,WAT,2020-05-04,0.0,0.0,0.125,0.3333333333333333,-0.18191838,22.0871587709634,1.48,2020-07-28,2.3,0.71,180.43,2.41,490000000,593000000,463000000,-0.509,326336864,19.805708,2.89,,0.22767,204.0,145.0,185.0,8.169,0.02532838219808231
2168,IBM,2020-05-04,0.25,0.23809523809523808,0.2222222222222222,0.28,-0.13185638,12.05229793977813,2.12,2020-07-20,3.12,1.47,121.68,0.9570000000000001,17650100000,18202000000,15858000000,-0.261,17435000832,9.773494,2.77,5.4022374000000015,0.117790006,150.0,90.0,125.0,10.096,0.02728468113083493
2169,MGM,2020-05-04,0.42105263157894735,0.5,0.5,0.7647058823529411,-0.41137254,2.6990504017531043,-1.52,2020-07-23,0.34,-2.66,14.78,2.8930000000000002,1486100000,3274400000,323580000,24.781,3390750,-29.56,-0.3,0.8917043,0.24452,36.0,10.0,19.5,5.476,0.3193504736129906
2170,WMB,2020-05-04,0.64,0.68,0.8,0.7368421052631579,-0.3224982,27.406876790830946,0.26,2020-07-29,0.34,0.21,19.13,0.39799999999999996,2133900000,2229550000,1977440000,,448750016,18.04717,9.37,1.7395653000000002,0.103640005,26.0,16.0,21.5,0.698,0.12388917929952958
2171,TMUS,2020-05-04,0.8181818181818182,0.8181818181818182,0.7241379310344828,0.7666666666666667,0.15766847,22.129353233830848,1.03,2020-05-06,1.24,0.84,88.96,0.7440000000000001,11402500000,11720000000,10932400000,0.173,1366375040,42.769234000000004,8.7,2.6479342,0.07707,128.0,60.0,102.5,4.02,0.15220323741007213
2172,K,2020-05-04,0.3684210526315789,0.4,0.19047619047619047,0.14285714285714285,0.12996519,21.287194918087597,0.93,2020-07-30,0.98,0.9,63.67,0.767,3267750000,3384000000,3101000000,0.23,1119250048,16.283886,9.64,8.159682,0.07611,77.0,61.0,67.0,2.991,0.05230092665305475
2173,CINF,2020-05-04,0.25,0.2222222222222222,0.14285714285714285,0.14285714285714285,-0.36609465,129.06652360515022,0.7,2020-07-28,0.91,0.51,60.145,1.112,1615770000,1654000000,1555300000,,121125000,16.299457999999998,-2.86,1.2026113,0.013409999,100.0,64.0,72.0,0.466,0.19710699143735955
2174,CTSH,2020-05-04,0.25,0.25,0.6363636363636364,0.7272727272727273,-0.052013397,17.13981762917933,0.93,2020-05-07,1.01,0.81,56.39,2.551,4219280000,4241000000,4162000000,-0.39,2019624960,13.720194000000001,2.7,2.8036592000000002,0.10975,83.0,37.0,60.0,3.29,0.06401844298634507
2175,MA,2020-05-04,0.9459459459459459,0.9459459459459459,0.8055555555555556,0.8717948717948718,0.08083975,34.410223642172525,1.2,2020-07-28,2.01,0.87,269.26,1.8659999999999999,3284610000,4253350000,2914000000,-0.091,6848999936,30.632538,2.83,50.085567,0.46750998,360.0,260.0,315.0,7.825,0.16987298521874772
2176,STE,2020-05-04,0.5,0.6,0.75,0.75,0.055145144,30.334782608695654,1.57,2020-05-13,1.62,1.51,139.54,2.336,799560000,825160000,771500000,1.193,285351264,25.417122,2.57,3.4977689,0.13206,180.0,145.0,162.5,4.6,0.16454063351010473
2177,NWL,2020-05-04,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.625,-0.23153943,-5.134742951907131,0.34,2020-07-31,0.44,-0.02,12.385,1.327,2281090000,2449600000,1939700000,,3611275008,8.600695,10.9,1.5207515,-0.106850006,18.0,11.75,15.0,-2.412,0.21114251110213966
2178,KMI,2020-05-04,0.52,0.36,0.6363636363636364,0.5789473684210527,-0.25102878,25.215146299483653,0.18,2020-07-15,0.24,0.13,14.65,0.552,2922760000,3157520000,2670740000,,,16.277779000000002,-3.47,1.0018463,0.10306,22.0,14.0,18.0,0.581,0.22866894197952226
2179,TFC,2020-05-04,0.5,0.45454545454545453,0.0,0.0,-0.30222487,,0.69,2020-07-16,0.98,-0.37,35.56,,5517310000,5629000000,5409000000,0.338,,9.508021000000001,2.33,,0.25072,50.0,26.0,41.0,,0.15298087739032606
2180,UNP,2020-05-04,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.41379310344827586,-0.1158275,17.99395629939563,1.54,2020-07-16,1.78,1.02,154.82,0.82,4363230000,4527000000,4153000000,0.06,3499124992,17.16408,2.02,6.5696344,0.27848,185.0,125.0,168.5,8.604,0.08836067691512728
2181,EXR,2020-05-04,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.25,-0.17967057,26.367851622874806,0.76,2020-05-06,0.77,0.75,85.3,0.415,293010000,336410000,281220000,0.107,545669376,26.739813,4.77,4.3502655,0.31822002,119.0,68.0,98.0,3.235,0.14888628370457213
2182,AAL,2020-05-04,1.0,1.0,1.0,0.5,-0.69381297,-5.786682380671774,-7.62,2020-07-23,-4.65,-13.13,9.82,0.373,1713680000,4617000000,907580000,,-870374976,-245.5,-0.16,,-0.016929999,41.0,1.0,13.5,-1.697,0.3747454175152749
2183,ORLY,2020-05-04,0.47619047619047616,0.4090909090909091,0.5769230769230769,0.6153846153846154,0.0016233921,21.783850513439198,3.54,2020-07-22,4.99,2.21,388.21,0.909,2426240000,2751000000,2136490000,-0.065,753027904,19.656202,1.68,264.62847999999997,0.13414,450.0,354.0,415.0,17.821,0.06900904149815834
2184,COST,2020-05-04,0.6333333333333333,0.5666666666666667,0.6551724137931034,0.6206896551724138,0.2362119,35.74245803498063,2.04,2020-05-28,2.34,1.7,304.49,1.044,37520400000,40307000000,35033000000,0.047,3020999936,32.496265,5.33,8.093833,0.02386,360.0,235.0,330.0,8.519,0.08377943446418601
2185,BLL,2020-05-04,0.6153846153846154,0.6153846153846154,0.5,0.5384615384615384,0.059079885,39.84939759036145,0.6,2020-05-07,0.63,0.55,66.15,0.8759999999999999,2809840000,3005500000,2660000000,0.06,949875008,20.291412,1.98,7.2820350000000005,0.04933,94.0,70.0,78.0,1.66,0.17913832199546476
2186,SPGI,2020-05-04,0.7333333333333333,0.7333333333333333,0.8571428571428571,0.7333333333333333,0.3025818,29.857904085257548,2.36,2020-07-30,2.65,2.14,285.77,1.239,1652840000,1809000000,1558000000,0.559,2573250048,26.121572,3.45,,0.34018,339.0,227.0,305.5,9.571,0.06904153690030457
2187,NFLX,2020-05-04,0.6190476190476191,0.6190476190476191,0.6,0.6097560975609756,0.09665406,86.65249949402954,1.81,2020-07-15,2.07,1.59,428.15,0.821,6072660000,6152300000,5979990000,1.061,11260097536,49.84284,1.79,22.390439999999998,0.10428,645.0,182.0,485.0,4.941,0.13278056755809886
2188,RJF,2020-05-04,0.4444444444444444,0.6,0.2857142857142857,0.42857142857142855,-0.30433822,9.256736748593427,0.98,2020-07-22,1.34,0.57,62.52,,1777620000,1861300000,1720300000,-0.352,,11.285199,-1.86,1.2695706,0.12174,84.0,56.0,66.75,6.754,0.06765834932821502
2189,BKR,2020-05-04,0.8571428571428571,0.8571428571428571,0.7777777777777778,0.0,-0.42773604,,0.0,2020-07-29,0.07,-0.05,13.97,1.445,4775670000,5023000000,4359000000,,3319000064,37.756756,2.43,,-0.42769,25.0,12.0,16.0,,0.14531138153185386
2190,GILD,2020-05-04,0.4642857142857143,0.5,0.44,0.4642857142857143,0.18111968,20.598049281314168,1.51,2020-07-28,1.92,1.18,80.25,3.406,5392500000,5764000000,4730500000,-0.215,,12.5390625,6.93,4.5372305,0.21844,97.0,58.0,81.0,3.896,0.009345794392523255
2191,UAL,2020-05-04,0.5,0.75,0.5882352941176471,0.3333333333333333,-0.6967764,6.361118106270461,-13.22,2020-07-14,-9.65,-19.4,25.26,0.491,2629070000,8982010000,856950000,,-2069500032,5.2082477,-0.12,0.6665084,0.024319999,111.0,24.0,42.5,3.971,0.6825019794140934
