,ticker,as_of_date,-1m,-2m,-3m,0m,52w_change,PE,current_earning_avg,current_earning_d,current_earning_high,current_earning_low,current_price,current_ratio,current_revenue_avg,current_revenue_high,current_revenue_low,earningQtr_growth,free_cf,fwd_pe,pegRatio,priceToBook,profit_margin,tgt_high_price,tgt_low_price,tgt_median_price,trailingEps,growthPotential
2083,WELL,2020-05-04,0.42105263157894735,0.47368421052631576,0.0,0.0,-0.37723684,15.842622950819672,0.35,2020-05-06,0.4,0.25,48.32,2.8139999999999996,1267410000,1290300000,1248800000,0.977,593276608,40.949154,3.28,1.2756071000000002,0.24065,96.0,34.0,51.0,3.05,0.055463576158940375
2084,AFL,2020-05-04,0.21428571428571427,0.21428571428571427,0.25,0.2,-0.27513856,8.975646497614862,1.08,2020-07-28,1.13,0.96,35.75,0.47200000000000003,5456370000,5527000000,5342160000,-0.39,2453874944,7.997763000000001,3.87,0.9727361999999999,0.13488,50.0,32.0,43.5,3.983,0.21678321678321688
2085,ECL,2020-05-04,0.2631578947368421,0.3,0.5454545454545454,0.5454545454545454,0.03463304,36.20415879017013,0.97,2020-07-28,1.55,0.74,191.52,1.5119999999999998,3226370000,3848000000,2967330000,-0.044,,31.92,4.07,6.2696830000000014,0.10318,225.0,150.0,176.0,5.29,-0.08103592314118635
2086,OTIS,2020-05-04,0.0,0.0,0.0,0.0,0.09856355,,,,,,49.53,1.053,,,,,1235124992,22.616438,14.58,,0.08507,58.0,52.0,54.5,,0.10034322632747816
2087,SYK,2020-05-04,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6296296296296297,-0.05444461,31.38312829525483,0.54,2020-07-23,1.4,-0.99,178.57,2.58,2562560000,2934000000,2350260000,0.197,1500749952,20.292046,4.83,5.111054,0.14468999,245.0,150.0,205.0,5.69,0.14800918407347252
2088,AES,2020-05-04,0.5,0.4444444444444444,0.5,0.5555555555555556,-0.23022008,28.403547671840354,0.29,2020-05-07,0.33,0.26,12.81,1.026,2662000000,2662000000,2662000000,,-443249984,8.264517,1.19,2.8390958,0.02974,20.0,15.0,17.75,0.451,0.38563622170179546
2089,ARE,2020-05-04,0.8,0.8,0.5833333333333334,0.5833333333333334,0.064284325,70.39058823529412,0.67,2020-07-27,0.77,0.46,149.58,3.242,326520000,340380000,313570000,-0.855,739561152,48.564938,577.5,1.9947990000000002,0.15619999,190.0,152.0,172.5,2.125,0.15322904131568382
2090,MCK,2020-05-04,0.5263157894736842,0.42105263157894735,0.375,0.2857142857142857,0.078290105,-27.29979879275654,4.08,2020-05-20,4.2,3.87,135.68,0.983,55577700000,56704000000,53912000000,-0.603,2615375104,8.7761965,1.17,3.8882358,-0.00408,193.0,140.0,163.0,-4.97,0.20135613207547154
2091,MAR,2020-05-04,0.23076923076923078,0.23076923076923078,0.5,0.52,-0.38475502,21.731578947368423,0.91,2020-05-11,1.49,0.49,82.58,0.46799999999999997,4270180000,5123000000,3428000000,-0.12,486500000,16.287968,-5.0,38.055298,0.23692,148.0,65.0,96.0,3.8,0.16250908210220394
2092,ZBH,2020-05-04,0.7586206896551724,0.7241379310344828,0.6071428571428571,0.6428571428571429,-0.07407409,20.853747714808044,1.35,2020-05-11,1.89,0.05,114.07,1.3730000000000002,1794810000,1913470000,1758800000,,834587520,15.189081,4.86,1.8968669999999999,0.14177,180.0,99.0,131.5,5.47,0.1528009117208733
2093,ALB,2020-05-04,0.34782608695652173,0.391304347826087,0.5,0.4,-0.2545101,11.406374501992033,0.83,2020-05-06,1.05,0.71,57.26,1.579,762330000,800000000,726460000,-0.303,-20226624,11.140077999999999,0.89,1.5441037,0.14854999,116.0,35.21,68.0,5.02,0.187565490743975
2094,HUM,2020-05-04,0.7083333333333334,0.7083333333333334,0.6842105263157895,0.631578947368421,0.4910475,19.35160051216389,7.37,2020-04-29,9.55,5.51,377.84,1.655,18631900000,18879000000,18183700000,-0.164,2106249984,17.197998000000002,1.61,4.043101999999998,0.038599998,500.0,345.0,422.0,19.525,0.11687486766885469
2095,ED,2020-05-04,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.07142857142857142,-0.09564501,18.887254901960784,1.41,2020-05-07,1.54,1.35,77.06,0.679,3674570000,4078060000,3523000000,-0.109,-1211624960,16.862143,7.48,1.422296,0.106809996,99.0,76.0,85.0,4.08,0.10303659486114713
2096,JCI,2020-05-04,0.42105263157894735,0.3888888888888889,0.5555555555555556,0.47368421052631576,-0.29628694,4.402777777777778,0.48,2020-07-29,0.67,0.24,28.53,1.047,5447880000,6164100000,4839400000,-0.586,3316999936,12.851352,0.73,1.1735428999999995,0.21798,44.0,26.0,32.0,6.48,0.12162635821941814
2097,PEP,2020-05-04,0.4,0.35,0.34782608695652173,0.5454545454545454,0.022550464,25.352439969016267,1.25,2020-07-07,1.29,1.21,130.92,1.099,15379800000,16159300000,15047000000,-0.053,4649999872,22.227504999999997,5.25,13.50526,0.10621,156.0,124.0,145.0,5.164,0.10754659333944394
2098,CME,2020-05-04,0.42105263157894735,0.3684210526315789,0.6428571428571429,0.6428571428571429,-0.025259614,25.90990990990991,1.83,2020-07-29,2.02,1.52,172.56,1.013,1306540000,1402770000,1209110000,0.542,,23.131367,4.44,2.322164,0.45878,230.0,153.0,196.0,6.66,0.13583681038479378
2099,IR,2020-05-04,0.5,0.45454545454545453,0.5,0.3333333333333333,-0.17507333,36.01315789473684,0.27,2020-05-12,0.31,0.23,27.37,2.687,1244680000,1349400000,958100000,-0.728,347824992,18.00658,1.61,3.0014255000000003,0.06489,38.0,23.0,28.0,0.76,0.023017902813299296
2100,WU,2020-05-04,0.05,0.05,0.17391304347826086,0.18181818181818182,-0.036420345,7.662601626016261,0.42,2020-05-05,0.48,0.36,18.85,0.363,1228620000,1355900000,1177000000,-0.362,166187504,9.76684,1.44,,0.19997999,28.0,15.0,19.5,2.46,0.0344827586206895
2101,DISH,2020-05-04,0.5,0.4,0.38095238095238093,0.4782608695652174,-0.3088447,9.076923076923077,0.57,2020-07-27,0.68,0.48,23.6,0.893,3149370000,3294470000,3092220000,0.155,215040128,12.356021,-0.75,1.0673903,0.10927,88.0,15.0,35.93,2.6,0.5224576271186441
2102,INCY,2020-05-04,0.5263157894736842,0.47368421052631576,0.8,0.8095238095238095,0.14470589,49.26341463414634,0.61,2020-05-05,0.73,0.35,100.99,4.834,556040000,592400000,505350000,0.607,518660512,25.121891,1.0,8.40183,0.20702,122.0,74.0,88.0,2.05,-0.1286265966927418
